run,method,split,n_correct,n_wrong,n_total,overall_acc,mean_sim_correct,mean_sim_wrong,median_sim_correct,median_sim_wrong,n_above_0.5,n_below_0.5,P_correct_above_0.5,P_correct_below_0.5,lift_at_0.5,n_above_0.6,n_below_0.6,P_correct_above_0.6,P_correct_below_0.6,lift_at_0.6,n_above_0.7,n_below_0.7,P_correct_above_0.7,P_correct_below_0.7,lift_at_0.7,n_above_0.8,n_below_0.8,P_correct_above_0.8,P_correct_below_0.8,lift_at_0.8,n_above_0.9,n_below_0.9,P_correct_above_0.9,P_correct_below_0.9,lift_at_0.9
r8_retrieval_seed1_held,retrieval_practice,indist,45,1955,2000,0.0225,0.6911240763134426,0.6465821936612239,0.7129250764846802,0.6275731921195984,1550,450,0.02387096732854843,0.017777778208255768,0.006093189120292664,1125,875,0.024000000208616257,0.020571429282426834,0.0034285709261894226,758,1242,0.030343007296323776,0.017713366076350212,0.012629641219973564,424,1576,0.033018868416547775,0.019670050591230392,0.013348817825317383,179,1821,0.05586592108011246,0.01922020874917507,0.036645712330937386
r8_retrieval_seed1_held,retrieval_practice,ood,114,3418,3532,0.03227633069082673,0.7110329604985421,0.6320674741055409,0.7271750867366791,0.6062986552715302,2645,887,0.03667296841740608,0.019165726378560066,0.017507242038846016,1832,1700,0.04039301350712776,0.0235294122248888,0.01686360128223896,1224,2308,0.04983660206198692,0.02296360395848751,0.026872998103499413,700,2832,0.05999999865889549,0.025423727929592133,0.03457627072930336,295,3237,0.08813559263944626,0.02718566544353962,0.06094992719590664
r8_retrieval_seed2,retrieval_practice,indist,52,1948,2000,0.026,0.7061113755290325,0.6460220639190389,0.729150652885437,0.62698033452034,1550,450,0.02709677442908287,0.02222222276031971,0.004874551668763161,1125,875,0.03200000151991844,0.018285714089870453,0.013714287430047989,758,1242,0.036939315497875214,0.019323671236634254,0.01761564426124096,424,1576,0.044811319559812546,0.020939085632562637,0.02387223392724991,179,1821,0.05586592108011246,0.023064250126481056,0.0328016709536314
r8_retrieval_seed2,retrieval_practice,ood,126,3406,3532,0.03567383918459796,0.7061221776973634,0.6319709305929844,0.7098812758922577,0.6056498885154724,2645,887,0.04120982810854912,0.019165726378560066,0.022044101729989052,1832,1700,0.04803493618965149,0.02235294133424759,0.0256819948554039,1224,2308,0.05228758230805397,0.026863085106015205,0.025424497202038765,700,2832,0.058571428060531616,0.030014123767614365,0.02855730429291725,295,3237,0.08474576473236084,0.03120172955095768,0.05354403518140316
r8_standard_mastered,standard_ft_mastered,indist,43,1957,2000,0.0215,0.6842981805635053,0.6467776955940556,0.6485841274261475,0.6276175379753113,1550,450,0.022580645978450775,0.017777778208255768,0.004802867770195007,1125,875,0.024000000208616257,0.018285714089870453,0.005714286118745804,758,1242,0.026385223492980003,0.018518518656492233,0.00786670483648777,424,1576,0.03066037781536579,0.01903553307056427,0.011624844744801521,179,1821,0.03910614550113678,0.01976935751736164,0.01933678798377514
r8_standard_mastered,standard_ft_mastered,ood,100,3432,3532,0.028312570781426953,0.6839477989077568,0.633178789073076,0.6550999879837036,0.6068984866142273,2645,887,0.03213610500097275,0.016910934820771217,0.01522517018020153,1832,1700,0.033842794597148895,0.02235294133424759,0.011489853262901306,1224,2308,0.03921568766236305,0.02253032848238945,0.016685359179973602,700,2832,0.044285714626312256,0.024364406242966652,0.019921308383345604,295,3237,0.05423728749155998,0.025949953123927116,0.028287334367632866
r8_standard_random,standard_ft,indist,57,1943,2000,0.0285,0.659115346377356,0.64724611286582,0.6321927905082703,0.6277121305465698,1550,450,0.028387097641825676,0.028888888657093048,-0.0005017910152673721,1125,875,0.029333332553505898,0.02742857113480568,0.0019047614187002182,758,1242,0.03166227042675018,0.026570048183202744,0.00509222224354744,424,1576,0.03066037781536579,0.027918782085180283,0.0027415957301855087,179,1821,0.044692736119031906,0.02690829150378704,0.017784444615244865
r8_standard_random,standard_ft,ood,113,3419,3532,0.03199320498301246,0.6948050893513502,0.6326269110537789,0.7122899293899536,0.6068933010101318,2645,887,0.03478260710835457,0.023675309494137764,0.011107297614216805,1832,1700,0.03711790218949318,0.026470588520169258,0.010647313669323921,1224,2308,0.047385621815919876,0.02383015677332878,0.023555465042591095,700,2832,0.05714285746216774,0.025776837021112442,0.0313660204410553,295,3237,0.08135592937469482,0.02749459445476532,0.053861334919929504
r8_standard_seed1_held,standard_ft,indist,47,1953,2000,0.0235,0.707867608425465,0.6461336377090634,0.7074885368347168,0.6267600059509277,1550,450,0.026451613754034042,0.013333333656191826,0.013118280097842216,1125,875,0.0284444447606802,0.017142856493592262,0.011301588267087936,758,1242,0.03166227042675018,0.018518518656492233,0.01314375177025795,424,1576,0.03773584961891174,0.019670050591230392,0.01806579902768135,179,1821,0.05027933046221733,0.02086765505373478,0.02941167540848255
r8_standard_seed1_held,standard_ft,ood,106,3426,3532,0.03001132502831257,0.7044960935160799,0.6324541150253555,0.7059952020645142,0.6062014102935791,2645,887,0.03402646631002426,0.018038330599665642,0.01598813571035862,1832,1700,0.0393013097345829,0.019999999552965164,0.019301310181617737,1224,2308,0.04493464156985283,0.02209705300629139,0.02283758856356144,700,2832,0.05428571254014969,0.02401129901409149,0.030274413526058197,295,3237,0.06440678238868713,0.02687673829495907,0.037530044093728065
r8_standard_seed2,standard_ft,indist,54,1946,2000,0.027,0.6823661316324163,0.6466192193903634,0.6680164337158203,0.62698033452034,1550,450,0.028387097641825676,0.02222222276031971,0.006164874881505966,1125,875,0.03200000151991844,0.020571429282426834,0.011428572237491608,758,1242,0.03298152983188629,0.02334943599998951,0.009632093831896782,424,1576,0.03066037781536579,0.026015227660536766,0.004645150154829025,179,1821,0.044692736119031906,0.025260845199227333,0.019431890919804573
r8_standard_seed2,standard_ft,ood,94,3438,3532,0.026613816534541337,0.710448073896956,0.632542834509383,0.6998782455921173,0.6058834195137024,2645,887,0.030623817816376686,0.014656144194304943,0.015967673622071743,1832,1700,0.03820960596203804,0.014117646962404251,0.02409195899963379,1224,2308,0.03839869424700737,0.020363951101899147,0.018034743145108223,700,2832,0.04285714402794838,0.02259887009859085,0.02025827392935753,295,3237,0.07118643820285797,0.022551745176315308,0.048634693026542664
